UserID	Group_Name	Trial	StimulusID	Marker	Previous_Marker	Verb_Position	SO	Text	Correct_Form	Correct_Guess	Previous_Correct
177dd91185f-6f4-1775-8274-9776	3	1	A4	No	NA	Final	No	Tinga mgana mumi	Yes	No	Yes
177dd913503-13ae-497-28d6-a00b	3	2	F2	Yes	No	Final	No	Mgana tinga-ke sollu	No	Yes	No
177dd91185f-6f4-1775-8274-9776	3	3	A6	No	Yes	Final	No	Mgana tinga holi	Yes	No	Yes
177dd913503-13ae-497-28d6-a00b	3	4	B2	No	No	Final	Yes	tinga mgana mamu	Yes	Yes	No
177dd91185f-6f4-1775-8274-9776	3	5	A9	No	No	Final	Yes	Tinga mgana uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	6	B7	No	No	Final	No	tinga mgana tik	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	7	C13	No	No	Final	Yes	Tinga mgana teki	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	8	C1	Yes	No	Final	Yes	tinga mgana-ke momu	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	9	A5	No	Yes	Final	Yes	Tinga mgana hopi	Yes	No	Yes
177dd913503-13ae-497-28d6-a00b	3	10	C14	No	No	Final	Yes	mgana tinga teki	Yes	Yes	No
177dd91185f-6f4-1775-8274-9776	3	11	C10	No	No	Final	Yes	Mgana tinga uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	12	B8	No	No	Final	Yes	mgana tinga toku	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	13	B12	No	No	Final	Yes	Mgana tinga uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	14	B3	No	No	Final	Yes	mgana tinga momu	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	15	C7	No	No	Final	Yes	Mgana tinga hopi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	16	A7	No	No	Final	Yes	mgana tinga hopi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	17	A16	No	No	Final	Yes	Mgana tinga teki	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	18	C6	No	No	Final	Yes	mgana tinga hopi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	19	B9	No	No	Final	Yes	Tinga mgana uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	20	B16	No	No	Final	Yes	mgana tinga teki	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	21	B10	No	No	Final	Yes	Tinga mgana uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	22	A1	No	No	Final	Yes	tinga mgana momi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	23	C2	No	No	Final	Yes	Mgana tinga mumi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	24	A2	No	No	Final	Yes	tinga mgana mumi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	25	A13	No	No	Final	Yes	Tinga mgana teki	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	26	A14	Yes	No	Final	Yes	 tinga mgana-ke teki	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	27	A10	No	Yes	Final	Yes	tinga mgana uuhi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	28	C5	Yes	No	Final	Yes	mgana tinga-ke hopi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	29	A8	Yes	Yes	Final	Yes	Mgana tinga-ke hopi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	30	B1	No	Yes	Final	Yes	tinga mgana momi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	31	C8	No	No	Final	Yes	Tinga mgana hopi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	32	B5	Yes	No	Final	Yes	tinga mgana-ke hopi	Yes	Yes	Yes
177dd91185f-6f4-1775-8274-9776	3	33	C4	No	Yes	Final	Yes	Tinga mgana mumi	Yes	Yes	Yes
177dd913503-13ae-497-28d6-a00b	3	34	C9	Yes	No	Final	Yes	tinga mgana-ke oohi	Yes	Yes	Yes
