StimulusID	Stimulus_Type	Agent	Position_Agent	Position_Picture
A1	DifferentAP	Purple	Right	Left
A10	DifferentAP	Purple	Right	Right
A11	DifferentAP	Yellow	Left	Left
A12	DifferentAP	Yellow	Left	Right
A13	DifferentAP	Purple	Left	Left
A14	DifferentAP	Purple	Left	Right
A15	DifferentAP	Yellow	Right	Left
A16	DifferentAP	Yellow	Right	Right
A2	DifferentAP	Purple	Left	Right
A3	DifferentAP	Yellow	Left	Left
A4	DifferentAP	Yellow	Right	Right
A5	DifferentAP	Purple	Left	Left
A6	DifferentAP	Purple	Right	Right
A7	DifferentAP	Yellow	Right	Left
A8	DifferentAP	Yellow	Left	Right
A9	DifferentAP	Purple	Right	Left
B1	DifferentActions	Purple	Right	Left
B10	DifferentActions	Purple	Right	Right
B11	DifferentActions	Yellow	Left	Left
B12	DifferentActions	Yellow	Left	Right
B13	DifferentActions	Purple	Left	Left
B14	DifferentActions	Purple	Left	Right
B15	DifferentActions	Yellow	Right	Left
B16	DifferentActions	Yellow	Right	Right
B2	DifferentActions	Purple	Left	Right
B3	DifferentActions	Yellow	Left	Left
B4	DifferentActions	Yellow	Right	Right
B5	DifferentActions	Purple	Left	Left
B6	DifferentActions	Purple	Right	Right
B7	DifferentActions	Yellow	Right	Left
B8	DifferentActions	Yellow	Left	Right
B9	DifferentActions	Purple	Right	Left
C1	AllDifferent	Purple	Left	Left
C10	AllDifferent	Yellow	Right	Right
C11	AllDifferent	Yellow	Right	Left
C12	AllDifferent	Purple	Left	Right
C13	AllDifferent	Purple	Right	Left
C14	AllDifferent	Yellow	Left	Right
C15	AllDifferent	Purple	Right	Left
C16	AllDifferent	Yellow	Left	Right
C2	AllDifferent	Yellow	Left	Right
C3	AllDifferent	Purple	Right	Left
C4	AllDifferent	Purple	Right	Right
C5	AllDifferent	Yellow	Left	Left
C6	AllDifferent	Yellow	Right	Right
C7	AllDifferent	Yellow	Right	Left
C8	AllDifferent	Purple	Left	Right
C9	AllDifferent	Purple	Left	Left
F1	Filler	Purple	Left	Left
F2	Filler	Purple	Right	Right
