UserID	Group	Trial	StimulusID	Marker	Previous_Marker	Verb_Position	SO	Text	Correct_Form	CorrectGuess	PreviousCorrect
1797f590158-4ce6-9fc0-9d4f-c8c0	1	1	A11	No	NA	Final	Yes	Mgana tinga uuhi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	2	A8	No	No	Final	Yes	mgana tinga hopi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	3	C12	No	No	Final	Yes	Tinga Mgana uuhi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	4	B16	Yes	No	Final	Yes	mgana tinga-ka teki	No	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	5	C1	No	Yes	Final	Yes	Tinga mgana mumi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	6	A13	No	No	Final	Yes	tinga mgana teki	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	7	B5	No	No	Final	Yes	Tinga mgana hopi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	8	C3	Yes	No	Final	Yes	mgana tinga-ka mumi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	9	B12	No	Yes	Final	Yes	Mgana tinga uuhi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	10	A10	Yes	No	Final	No	mgana tinga-ka uuhi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	11	B3	No	Yes	Final	Yes	Mgana tinga mumi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	12	C8	No	No	Final	Yes	tinga mgana hopi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	13	A12	No	No	Final	Yes	Mgana tinga uuhi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	14	C2	No	No	Final	Yes	mgana tinga mumi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	15	B2	No	No	Final	Yes	Tinga mgana mumi	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	16	A3	No	No	Final	Yes	mgana tinga mumi	Yes	Yes	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	17	C15	No	No	Final	Yes	Tinga mgana teki	Yes	Yes	Yes
1797f58ff1c-bdef-5fcc-eb97-e183	1	18	F2	Yes	No	Final	Yes	mgana tinga-ka lali	No	No	Yes
1797f590158-4ce6-9fc0-9d4f-c8c0	1	19	C11	No	Yes	Final	Yes	Mgana tinga uuhi	Yes	Yes	No
